Entity,Code,Day,Daily new confirmed deaths due to COVID-19
United Kingdom,GBR,2020-08-11,19
United Kingdom,GBR,2020-08-12,25
United Kingdom,GBR,2020-08-13,20
United Kingdom,GBR,2020-08-14,24
United Kingdom,GBR,2020-08-15,23
United Kingdom,GBR,2020-08-16,18
United Kingdom,GBR,2020-08-17,23
United Kingdom,GBR,2020-08-18,15
United Kingdom,GBR,2020-08-19,21
United Kingdom,GBR,2020-08-20,15
United Kingdom,GBR,2020-08-21,13
United Kingdom,GBR,2020-08-22,16
United Kingdom,GBR,2020-08-23,10
United Kingdom,GBR,2020-08-24,12
United Kingdom,GBR,2020-08-25,17
United Kingdom,GBR,2020-08-26,9
United Kingdom,GBR,2020-08-27,22
United Kingdom,GBR,2020-08-28,16
United Kingdom,GBR,2020-08-29,12
United Kingdom,GBR,2020-08-30,12
United Kingdom,GBR,2020-08-31,8
